순번,업종명,업소명,도로명주소,지번주소,행정동명,전화번호
5341,일반음식점,피자먹다 둔산점,"대전광역시 서구 둔산중로64번길 26, 위너펠리스 1층 103호 (둔산동)",대전광역시 서구 둔산동 1467 위너펠리스 ,둔산1동,
5342,일반음식점,화로상회 대전도안점,"대전광역시 서구 도안동로11번길 45, KD U PLAZA 2층 207호 (도안동)",대전광역시 서구 도안동 1774 KD U PLAZA ,도안동, 042- 545-8592
5343,일반음식점,매너카트시장카페,"대전광역시 서구 도솔로302번길 25-2, 1층 일부호 (괴정동)",대전광역시 서구 괴정동 89-51 ,괴정동,
5344,일반음식점,핀트,"대전광역시 서구 원도안로207번길 8-63, 1층 일부호 (도안동)",대전광역시 서구 도안동 1145 ,도안동,
5345,일반음식점,샐또,"대전광역시 서구 도마로 12, 1층 일부호 (도마동)",대전광역시 서구 도마동 50-29 ,도마1동,
5346,일반음식점,처치앤댄스홀 둔산점,"대전광역시 서구 대덕대로 244, 건국타워 1층 101호 (둔산동)",대전광역시 서구 둔산동 1368 건국타워 ,둔산2동,
5347,일반음식점,매일꼬마김밥,"대전광역시 서구 신갈마로141번길 8, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 377-40 ,갈마1동, 042- 521-0083
5348,일반음식점,오마주,"대전광역시 서구 구봉산북로7번길 55, 1층 (관저동)",대전광역시 서구 관저동 1943-7 ,관저2동,
5349,일반음식점,미분당,"대전광역시 서구 둔산북로 36, 1층 118호 (둔산동)",대전광역시 서구 둔산동 963 ,둔산2동,
5350,일반음식점,아빠족발,"대전광역시 서구 갈마중로16번길 27, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 349-17 ,갈마2동,
5351,일반음식점,제이씨푸드,"대전광역시 서구 용소로54번길 4, 1층 일부호 (도안동)",대전광역시 서구 도안동 1919 ,도안동,
5352,일반음식점,엠제이푸드(MJ푸드),"대전광역시 서구 오량3길 6, 1층 일부호 (복수동)",대전광역시 서구 복수동 283-266 ,복수동,
5353,일반음식점,풍운아,"대전광역시 서구 갈마역로25번길 23, 1층 (갈마동)",대전광역시 서구 갈마동 873 ,갈마1동,042 -483 -3301
5354,일반음식점,덮덮밥 도마점,"대전광역시 서구 도솔로 74, 오페라하우스 1층 101,103호 (도마동)",대전광역시 서구 도마동 106-23 오페라하우스 ,도마2동,
5355,일반음식점,고담가택x와인보우,"대전광역시 서구 용문로 41-10, 1층 (괴정동)",대전광역시 서구 괴정동 427-1 ,괴정동,
5356,일반음식점,모미락 둔산점,"대전광역시 서구 대덕대로 244, 건국타워 1층 112호 (둔산동)",대전광역시 서구 둔산동 1368 건국타워 ,둔산2동, 042- 484-0608
